id,confidencialidad,integridad,disponibilidad,state
__export__.activo_informacion_clasificacion_1,BAJA,BAJA,BAJA,BAJA
__export__.activo_informacion_clasificacion_2,BAJA,BAJA,MEDIA,MEDIA
__export__.activo_informacion_clasificacion_3,BAJA,BAJA,ALTA,MEDIA
__export__.activo_informacion_clasificacion_4,BAJA,MEDIA,BAJA,MEDIA
__export__.activo_informacion_clasificacion_5,BAJA,MEDIA,MEDIA,MEDIA
__export__.activo_informacion_clasificacion_6,BAJA,MEDIA,ALTA,MEDIA
__export__.activo_informacion_clasificacion_7,BAJA,ALTA,BAJA,MEDIA
__export__.activo_informacion_clasificacion_8,BAJA,ALTA,MEDIA,MEDIA
__export__.activo_informacion_clasificacion_9,BAJA,ALTA,ALTA,ALTA
__export__.activo_informacion_clasificacion_10,MEDIA,BAJA,BAJA,MEDIA
__export__.activo_informacion_clasificacion_11,MEDIA,BAJA,MEDIA,MEDIA
__export__.activo_informacion_clasificacion_12,MEDIA,BAJA,ALTA,MEDIA
__export__.activo_informacion_clasificacion_13,MEDIA,MEDIA,BAJA,MEDIA
__export__.activo_informacion_clasificacion_14,MEDIA,MEDIA,MEDIA,MEDIA
__export__.activo_informacion_clasificacion_15,MEDIA,MEDIA,ALTA,MEDIA
__export__.activo_informacion_clasificacion_16,MEDIA,ALTA,BAJA,MEDIA
__export__.activo_informacion_clasificacion_17,MEDIA,ALTA,MEDIA,MEDIA
__export__.activo_informacion_clasificacion_18,MEDIA,ALTA,ALTA,ALTA
__export__.activo_informacion_clasificacion_19,ALTA,BAJA,BAJA,MEDIA
__export__.activo_informacion_clasificacion_20,ALTA,BAJA,MEDIA,MEDIA
__export__.activo_informacion_clasificacion_21,ALTA,BAJA,ALTA,ALTA
__export__.activo_informacion_clasificacion_22,ALTA,MEDIA,BAJA,MEDIA
__export__.activo_informacion_clasificacion_23,ALTA,MEDIA,MEDIA,MEDIA
__export__.activo_informacion_clasificacion_24,ALTA,MEDIA,ALTA,ALTA
__export__.activo_informacion_clasificacion_25,ALTA,ALTA,BAJA,ALTA
__export__.activo_informacion_clasificacion_26,ALTA,ALTA,MEDIA,ALTA
__export__.activo_informacion_clasificacion_27,ALTA,ALTA,ALTA,ALTA
