id,state,name,tipo
plan_mejoramiento_tipo_calificacion_1,sin_iniciar,Sin Iniciar,interno
plan_mejoramiento_tipo_calificacion_2,en_progreso,Parcial,interno
plan_mejoramiento_tipo_calificacion_3,en_progreso,No Cumplida,interno
plan_mejoramiento_tipo_calificacion_4,en_progreso,Seguimiento En Proceso,interno
plan_mejoramiento_tipo_calificacion_5,bloqueado,Bloqueado,interno
plan_mejoramiento_tipo_calificacion_6,terminado,Terminada a Tiempo,interno
plan_mejoramiento_tipo_calificacion_7,terminado,Cumplida,interno
plan_mejoramiento_tipo_calificacion_8,terminado_con_retraso,"Vencida, Cumplida Y Documentada",interno
plan_mejoramiento_tipo_calificacion_9,sin_iniciar,Sin Iniciar,contraloria_bog
plan_mejoramiento_tipo_calificacion_10,en_progreso,En Progreso,contraloria_bog
plan_mejoramiento_tipo_calificacion_11,terminado,Terminada,contraloria_bog
plan_mejoramiento_tipo_calificacion_12,terminado_con_retraso,Terminada Con Retraso,contraloria_bog
plan_mejoramiento_tipo_calificacion_13,sin_iniciar,Sin Iniciar,contraloria_gral
plan_mejoramiento_tipo_calificacion_14,en_progreso,No Vencida En Plazo Cumplida Y Documentada,contraloria_gral
plan_mejoramiento_tipo_calificacion_15,en_progreso,No Vencida En Plazo Con Evidencia De Avance Parcial,contraloria_gral
plan_mejoramiento_tipo_calificacion_16,en_progreso,No Vencida En Plazo Sin Evidencia De Avance y/o Cumplimiento,contraloria_gral
plan_mejoramiento_tipo_calificacion_17,bloqueado,No Aplica el Análisis de Cumplimiento a la Fecha de Corte del Monitoreo,contraloria_gral
plan_mejoramiento_tipo_calificacion_18,terminado,Culminado,contraloria_gral
plan_mejoramiento_tipo_calificacion_19,terminado_con_retraso,"Vencida, Cumplida Y Documentada",contraloria_gral
plan_mejoramiento_tipo_calificacion_20,terminado_con_retraso,Vencida Sin Evidencia De Cumplimiento,contraloria_gral
plan_mejoramiento_tipo_calificacion_21,terminado_con_retraso,Vencida Con Cumplimiento Documentado Parcialmente,contraloria_gral
